Метро	Адрес	Планировка	Площадь, м2	Этаж	Этажность здания	Цена, руб.	Описание 
Шаболовская	Москва, ЮАО, р-н Даниловский, м. Шаболовская, улица Серпуховский Вал, 21	3-комн. кв.	122	11	18	36500000	"В продаже квартира общей площадью 122 кв.м. Стен нет. Вариант планировки: кухня - столовая - гостиная, две спальные комнаты, постирочная, гардеробная, холл, два с/у. Либо любой другой вариант на ваше усмотрение. В квартире четыре окна, есть лоджия и балкон. Техническое обслуживание: приточно  вытяжная система вентиляции, датчики пожарной системы, самостоятельное кондиционирование с выводом наружных блоков на эвакуационные балконы, система доочистки воды ALCO, система Умный дом. Жилой комплекс ""Донской Олимп"" расположен в одном из старинных районов Москвы, на пересечении Даниловского и Донского районов . Все корпуса комплекса объединены подземным паркингом на 1819 машиномест с автомойкой."
Шаболовская	Москва, ЮАО, р-н Даниловский, м. Шаболовская, улица Серпуховский Вал, 21	4-комн. кв.	141	14	18	42000000	В продаже квартира общей площадью 141 м#178; Свободная планировка. Стены не возведены.  Возможный вариант планировки: кухня  столовая, четыре изолированные комнаты, холл, два с/у. Либо любой другой вариант на ваш вкус. В квартире пять окон, профиль которых изготовлен из клееной сосны и пластика. Техническое обслуживание: приточно  вытяжная система вентиляции, датчики пожарной системы, возможно провести самостоятельное кондиционирование с выводом наружных блоков на эвакуационные балконы, система доочистки воды ALCO, система Умный дом. По всей территории ЖК расположены видеокамеры, так же круглосуточно дежурит охрана. Территория комплекса огорожена по периметру. Даниловский район Южного Административного Округа прекрасно обеспечен инфраструктурой: в районе  расположено 9 общеобразовательных школ, 18 детских садов, поликлиники, ряд высших образовательных учреждений, в том числе РЭЙ им. Плеханова, бизнес центры, большое количество сетевых магазинов. В отделке фасадов использовался индийский гранит. Отделка комплекса выполнена в классической технике Сграффито.
Шаболовская	Москва, ЦАО, р-н Якиманка, м. Шаболовская, улица Шаболовка, 23к5	3-комн. кв.	123	8	21	59000000	"УНИКАЛЬНАЯ АВТОРСКАЯ КВАРТИРА в ЖК ""Созвездие Капитал-1"" с полностью узаконенной перепланировкой! На 123,5 кв.м комфортно распланирована большая (52 кв.м) гостиная с выделенной зоной кухни и столовой. Две изолированных спальни (22 кв.м и 16 кв.м), одна из которых имеет собственный санузел с ванной-джакузи и отдельную гардеробную комнату. Из второй спальни имеется выход на застекленную лоджию. Квартира полностью укомплектована дорогой встроенной мебелью, изготовленной непосредственно в Италии по индивидуальным эскизам (фабрики Bugatti, Aniboli Colombo, Alpe). Кухня спроектирована и изготовлена фабрикой Pedini. Квартира оснащена комплексной системой индивидуального кондиционирования и воздушного обогрева, установлена охранная сигнализация.  В отделке санузлов использован редкий и дорогой природный камень (мрамор Nero Portore, Юрский камень, Lime Stone), также специально под заказ привезенный из Италии и Германии. Все полы в санузлах и на кухне с подогревом. Сантехника - Flaminia и Duravit. Подоконники также изготовлены из натурального камня. Высокие (2,5 м) межкомнатные двери из массива от Lualdi Porte. Напольные покрытия - паркет Boer (гостиная, столовая, кабинет) и ковролин из натуральной шерсти (спальня). Квартира продается полностью укомплектованной мебелью и техникой.  Жилой комплекс располагается на огороженной территории, заселен и отремонтирован полностью более 5 лет назад, так что Вас не будут беспокоить ремонтные работы соседей.  В подземном паркинге имеется 2 машиноместа (не входит в стоимость, приобретение обсуждается отдельно). Исключительно богатая инфраструктура района (рестораны и кафе, супермаркеты и аптеки, рейтинговые гимназии и детские сады) в шаговой доступности до двух станций метро.  Отличные документы более 5 лет, 1 взрослый собственник (первый владелец). Свободная продажа, быстрый выход на сделку. Идеально подходит под ипотеку (при необходимости окажем помощь в одобрении ипотечного кредита)."
	Москва, НАО (Новомосковский), Внуковское поселение, улица Бориса Пастернака, 27А	Студия	18	1	17	2350000	"Продам квартиру-СТУДИЮ у МЕТРО в МОСКВЕ !!! __  ЖК Переделкино Ближнее.  Дом сдан, заселен. В связи с открытием метро цены возросли, успейте купить  по старой цене. Это самая низкая цена в районе!!! ____  В 12 минутах ходьбы от метро ""Рассказовка"" . Часто ходят маршрутки до метро Юго-Западная, Румянцево, Саларьево. Остановка рядом с домом. ____   Очень красивый современный благоустроенный комплекс, вокруг лес. Чистейший воздух! Жить в такой красоте одно удовольствие!!! __  Квартира черновая, по заказу делаем ремонт недорого и качественно. ____ Ипотеку и мат. капитал применить невозможно___ЗВОНИТЕ, буду рада помочь ВАМ в выборе своего жилья! ПРОСМОТР в удобное Вам время!"
Юго-Западная	Москва, ЗАО, р-н Очаково-Матвеевское, м. Юго-Западная, улица Елены Колесовой, 4К1	1-комн. кв.	38	13	16	6300000	Продается  1-комнатная квартира в зеленом районе Очаково -Матвеевское, Просторная , светлая, уютная квартира, ждет своего хозяина. Большая лоджия из комнаты. Большая  КУХНЯ, Комната с  альковом.Закрытый тамбур на 3 квартиры. Свежий ремонт в подъезде.Открытие метро в конце 2018 г. Вся инфраструктура рядом: 2 поликлиники, детский сад, много парковочных мест, магазин Пятерочка, Парковая зона Очаковские пруды, футбольная площадка. ДКП более 3 лет. Один  взрослый собственник, полная стоимость в договоре.
Новогиреево	Москва, ВАО, р-н Вешняки, м. Новогиреево, Вешняковская улица, 13	2-комн. кв.	45	5	9	6500000	Продается уютная 2-х комнатная квартира,  на 5 этаже 9-ти этажного дома, комнаты изолированные, санузел раздельный. Окна выходят на зеленый двор. Ближайшие метро: Выхино, Новогиреево, Перово. 4 квартиры на этаже, тихие соседи. Полная стоимость в договоре.
Филевский парк	Москва, ЗАО, р-н Филевский парк, м. Филевский парк, Сеславинская улица, 42С2	2-комн. кв.	42	2	5	7400000	Продам 2 комнатную квартиру по адресу: ул. Сеславинская, дом 42. Квартира расположена на 2  этаже 5 этажного кирпичного дома в 1 минуте пешком от метро. Дом кирпичный с толстыми внешними стенами.  Линейная планировка, окна  на улицу. Квартира  теплая, с хорошей звукоизоляцией, требует ремонта. Комнаты  изолированные, квадратная прихожая. Газовая колонка.Перекрытия железобетонные. Перепланировок нет. Документы основания: приватизация 1 взрослый собственник 2002 года. Ситуация: перевозим маму поближе к детям в СЗАО. Альтернатива подобрана. Торг.
Октябрьское поле	Москва, СЗАО, р-н Щукино, м. Октябрьское поле, улица Маршала Вершинина, 3	3-комн. кв.	58	2	5	9800000	Продается трёхкомнатная квартира в теплом, кирпичном доме. Подъезд чистый. Общая площадь квартиры 58м2, жилая 41,5 м2. Комнаты смежно- изолированные, но при желании можно изолировать. С/У раздельный, на окнах решетки. До ст. метро Октябрьское поле 5 мин. пешком. Вся инфраструктура в шаговой доступности- школы, детские сады, магазины. В собственности более 3 лет. Полная стоимость в договоре.
Выхино	Москва, ЮВАО, р-н Некрасовка, м. Выхино, улица Недорубова, 3	3-комн. кв.	78	15	25	10000000	"Свободная продажа, прозрачная история квартиры, 1 взрослый собственник с момента постройки дома, покупка по ДДУ у застройщика, никто не прописан, быстрый выход на сделку.                                  Удачная планировка квартиры: в одной из комнат 2 окна, что позволило сделать 2 небольшие, но изолированные детские, по итогу получилась 4 комнатная квартира, у вас будет 3 полноценные спальни и гостиная.  В конце 2018 года в 5 минутах неспешной ходьбы открытие станции метро Некрасовка Кожуховской линии метрополитена.              Продается квартира в новом микрорайоне комплексной коммерческой застройки 2013-2015г. ЖК ""Некрасовка Парк"". Квартира стильная и современная. Выполнен качественный ремонт с применением дорогостоящих материалов: Входная дверь Torex, все стены выровнены по маякам, на полу керамогранит и ламинат 33 класса, раздельный санузел полностью в кафеле, дорогие двери из натурального шпона дерева цвета венге, матовые натяжные потолки, водонагреватель Ariston, фильтр очистки питьевой воды. В стоимость входит встроенная кухня со всей бытовой техникой,  холодильник, водонагреватель, стенка и шкафы, обеденная группа.  2 большие лоджии (4 и 4.6 метров), все окна во двор с детским садом либо на поликлинику и частный сектор. Однородное социальное окружение, много молодых семей, ухоженный подъезд с видеонаблюдением, закрытый тамбур на 4 квартиры, хорошие соседи. Непосредственно в ЖК 3 детских сада, один из них во дворе дома, в районе 4 школы, дети из нашего дома приоритетно могут быть зачислены в новую языковую школу через дорогу, современная детско-взрослая поликлиника в 100 метрах от дома, футбольное поле, волейбольное поле, огромное количество детских площадок, несколько сетевых магазинов. Рядом запланировано строительство спортивного комплекса с бассейном и катком. Без преувеличения идеальное расположение дома по отношению ко всей необходимой инфраструктуре. Обсуждается продажа со всей мебелью, ипотека возможна."
Черкизовская	Москва, ВАО, р-н Измайлово, м. Черкизовская, Сиреневый бульвар, 4К3	2-комн. кв.	65	4	17	10900000	Квартира распашонка в доме П44Т с ремонтом, мебелью и техникой. Документы более 1999 года купля продажа. Рядом благоустроенный парк, пруд, спорткомплекс. До метро 15 минут пешком. До МЦК 10 минут пешком. Во двор въезд через шлагбаум. Территория огорожена. Охраняемый паркинг. На территории теннисные корты, парковая зона.
Университет	Москва, ЮЗАО, р-н Гагаринский, м. Университет, Молодежная улица, 3	2-комн. кв.	60	1	8	14300000	Предлагаем Вашему вниманию квартиру в сталинском доме в одном из самых престижных районов Москвы. Квартира свежая. На постоянной основе в ней никто не проживал, использовалась до недавно времени как шоурум (выставочный зал). Квартира очень просторная, теплая зимой и прохладная летом. Высокие потолки - 3 метра. Выполнен дизайнерский ремонт. Перепланировок незаконных нет, установлено несколько перегородок, которые легко демонтируются в случае необходимости. Тихий чистый подъезд, зеленый двор с парковочными местами. Вся инфраструктура в рядом. Отличная транспортная доступность. Рядом метро Университет, МГУ, Воробьёвы горы, театры, цирк и множество других интересных объектов. Единственный взрослый собственник (в собственности более 5 лет). Оперативный показ, быстрый выход на сделку. Без комиссии со стороны покупателя. С реальным покупателем возможен разумный торг. Звоните!
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88к4	1-комн. кв.	46	10	21	19300000	В продаже квартира общей площадью 46 кв.м. Выполнен евроремонт. Планировка квартиры: кухня  столовая, одна изолированная спальная комната, гардеробная, холл, один с/у.  В квартире два окна, немецкой фирмы Sсhuco. Двухкамерные стеклопакеты с тройным остеклением. Одно окно с выходом на балкон.  В жилом комплексе предусмотрена приточно-вытяжная система вентиляции и самостоятельное кондиционирование. Территория комплекса полностью освобождена от автомобильного движения. Вход на территорию осуществляется по электронным картам, контролируется службой охраны. Ведется круглосуточное видеонаблюдение по всему периметру. Охранная сигнализация. Территория комплекса в 15Га имеет большое количество парково-пешеходных зон, школа-гимназия, два детских сада, центр персональных тренировок, несколько медицинских учреждений, отделений банков, магазинов, детских игровых площадок.
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88к5	2-комн. кв.	76	3	21	19700000	В продаже квартира общей площадью 75,5 м#178; Свободная планировка. Стены в квартире не возведены. Возможный вариант планировки: кухня  столовая  гостиная, одна изолированная комната, гардеробная, холл, один с/у. Либо любой другой вариант на ваш вкус. В квартире три окна немецкой фирмы Sсhuco. Двухкамерные стеклопакеты с тройным остеклением. Одно окно с выходом на балкон. Технические характеристики: самостоятельное кондиционирование, приточно-вытяжная система вентиляции. В отделке фасадов домов использованы натуральные материалы: керамогранитная плитка, мрамор, гранит. Фасады вентилируемые, что обеспечивает тепловые качества здания. Подземный трехуровневый паркинг жилого комплекса расположен на -1 , -2, -3 этажах. Грузовые лифты спускаются на каждый этаж парковки. На -1 уровне паркинга расположена автомойка. Гостевой паркинг расположен на наземной территории комплекса. Установлены скоростные бесшумные лифты Otis.
Проспект Вернадского	Москва, ЮЗАО, р-н Обручевский, м. Проспект Вернадского, Ленинский проспект, 111к1	2-комн. кв.	87	39	48	21500000	"ID 38563. Ольга Комарова. Вашему вниманию предлагается 2-х комнатная квартира свободной планировки (без отделки) в ЖК ""WELL HOUSE"" общей площадью 87 кв.м. Прекрасные панорамные виды. Возможно спланировать: просторную кухню-гостиную, спальню, гардеробную, санузел. ЖК бизнес класса. Огороженная, охраняемая и благоустроенная территория, подземный паркинг и наземная гостевая парковка. В пешей доступности Воронцовский и Юго-Западный лесопарк. На территории комплекса: супермаркет, салон красоты, химчистка, частный детский сад и развивающие курсы для детей, медклиника и фитнес-клуб. К территории дома примыкает благоустроенный лесопарк с прудом, детскими площадками и игровыми зонами. Удобная транспортная доступность. ПОКАЗ ОПЕРАТИВНО!"
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88к5	2-комн. кв.	75	18	18	21700000	Ключи на руках! Показ в любое удобное время! К продаже представлена квартира общей площадью 75 м#178; Свободная планировка. Стены в квартире не возведены. Возможный вариант планировки: кухня  столовая  гостиная, изолированная комната, гардеробная, два с/у. Либо любой другой вариант на ваш вкус. В квартире три окна, немецкой фирмы Sсhuco. Двухкамерные стеклопакеты с тройным остеклением. Одно окно с выходом на балкон. Технические характеристики: самостоятельное кондиционирование, приточно-вытяжная система вентиляции. Подземный трехуровневый паркинг жилого комплекса расположен на -1 , -2, -3 этажах. Грузовые лифты спускаются на каждый этаж парковки. На -1 уровне паркинга расположена автомойка. Гостевой паркинг расположен на наземной территории комплекса. Установлены скоростные бесшумные лифты Otis. Территория ЖК: детские площадки, зоны отдыха, спортивные площадки, баскетбольное и футбольное поле, школа, два детских сада, фитнес  центр Xfit Premium с бассейном, салоны красоты. В планах открытие магазина Азбука Вкуса и ВТБ 24. ЖК Мосфильмовский находится под круглосуточной охраной. Наличие консьерж  службы.
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88	2-комн. кв.	76	15	21	21700000	К продаже представлена квартира общей площадью 75.5 кв.м. Свободная планировка. Стены в квартире не возведены. Возможный вариант планировки: кухня  столовая, две изолированные комнаты, холл, два с/у.  Либо любой другой вариант на ваш вкус. В квартире три окна немецкой фирмы Sсhuco. Двухкамерные стеклопакеты с тройным остеклением. Технические характеристики: самостоятельное кондиционирование, приточно-вытяжная система вентиляции. В отделке фасадов домов использованы натуральные материалы: керамогранитная плитка, мрамор, гранит. Фасады вентилируемые, что обеспечивает тепловые качества здания. Подземный трехуровневый паркинг жилого комплекса расположен на -1 , -2, -3 этажах. Грузовые лифты спускаются на каждый этаж парковки. На -1 уровне паркинга расположена автомойка. Гостевой паркинг расположен на наземной территории комплекса. Установлены скоростные бесшумные лифты Otis.
Автозаводская	Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, улица 1-я Машиностроения, 10	2-комн. кв.	80	15	30	24300000	ВНИМАНИЕ!!! ЛУЧШАЯ ДВУХКОМНАТНАЯ КВАРТИРА В КОМПЛЕКСЕ!!!  в ЖК Дубровская слобода  монолитно-кирпичный, вентилируемый фасад (керамогранит)  приточно-вытяжная вентиляция  кондиционирование индивидуальное  электричество на квартиру 20-35 кВт  панорамное остекление пластиковые окна Reynaуrs (Бельгия)  скоростные лифты Kone (Финляндия), 2-3 лифта в каждой секции  металлические двери Esta (Испания),  кодируемые замок Сisa (Италия)  радиаторы Jaga (Бельгия)  разведено отопление, пластиковые трубы в гофрокоробе Rehay (Германия)  дизайнерская отделка помещений общего назначения: керамогранит, мрамор, натуральное дерево, камень  на 15 этаже 30-этажного дома.В квартире выполнен уникальный дизайнерский ремонт с использованием дорогостоящих материалов. Общая площадь: 80 кв.м., жилая: 55 кв.м., площадь кухни: 20 кв.м. Высота потолков 3 м. Комплекс оборудован 2-х уровневым подземным паркингом,в который можно попасть с любого подъезда,не выходя на улицу. Машиноместо можно приобрести в собственность либо арендовать. Презентабельная входная группа. Преимуществом данного комплекса является хорошая транспортная доступность и развитая социальная и спортивная инфраструктура. В пешей доступности станция метро: Дубровка. Вблизи 10 крупных ТЦ, в т.ч. Мозайка Ривьера, Metro Cash&Carry, Город и др. Звоните!Оперативный показ!
Автозаводская	Москва, ЮВАО, р-н Южнопортовый, м. Автозаводская, улица 1-я Машиностроения, 10	3-комн. кв.	100	15	20	25500000	Обратите внимание!!! ЛУЧШАЯ ЦЕНА!! отличная трехкомнатная квартира свободной планировки,  в ЖК Дубровская слобода  монолитно-кирпичный, вентилируемый фасад (керамогранит)  приточно-вытяжная вентиляция  кондиционирование индивидуальное  электричество на квартиру 20-35 кВт  панорамное остекление пластиковые окна Reynaуrs (Бельгия)  скоростные лифты Kone (Финляндия), 2-3 лифта в каждой секции  металлические двери Esta (Испания),  кодируемые замок Сisa (Италия)  радиаторы Jaga (Бельгия)  разведено отопление, пластиковые трубы в гофрокоробе Rehay (Германия)  дизайнерская отделка помещений общего назначения: керамогранит, мрамор, натуральное дерево, камень  на 15 этаже 20-этажного дома. Общая площадь: 100 кв.м., жилая: 60 кв.м., площадь кухни: 20 кв.м. Высота потолков 3 м. Комплекс оборудован 2-х уровневым подземным паркингом,в который можно попасть с любого подъезда,не выходя на улицу. Машиноместо можно приобрести в собственность либо арендовать. Презентабельная входная группа. Преимуществом данного комплекса является хорошая транспортная доступность и развитая социальная и спортивная инфраструктура. В пешей доступности станция метро: Дубровка. Вблизи 10 крупных ТЦ, в т.ч. Мозайка Ривьера, Metro Cash&Carry, Город и др. Звоните!Оперативный показ!
Менделеевская	Москва, ЦАО, р-н Тверской, м. Менделеевская, Новослободская улица, 24	2-комн. кв.	55	2	10	28200000	
Щукинская	Москва, СЗАО, р-н Щукино, м. Щукинская, Авиационная улица, 79Б	4-комн. кв.	188	23	26	79990000	
Международная	Москва, ЦАО, р-н Пресненский, м. Международная, 1-й Красногвардейский проезд, 21с1	2-комн. кв.	85	26	85	43318470	
Раменки	Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88	2-комн. кв.	73	20	21	31500000	В продаже квартира площадью 72.9 кв.м. В квартире выполнен евроремонт. Функциональное планировочное решение: кухня-столовая-гостиная, две спальные комната, холл, два санузла. В квартире три окна немецкой фирмы Sсhuco. Двухкамерные стеклопакеты с тройным остеклением. Технические характеристики: самостоятельное кондиционирование, приточно-вытяжная система вентиляции. Подземный трехуровневый паркинг жилого комплекса расположен на -1 , -2, -3 этажах. Грузовые лифты спускаются на каждый этаж парковки. На -1 уровне паркинга расположена автомойка. Гостевой паркинг расположен на наземной территории комплекса. Установлены скоростные бесшумные лифты Otis. Территория ЖК: детские площадки, зоны отдыха, спортивные площадки, баскетбольное и футбольное поле, школа, два детских сада, фитнес  центр Xfit Premium с бассейном, салоны красоты. В планах открытие магазина Азбука Вкуса и ВТБ 24. ЖК Мосфильмовский находится под круглосуточной охраной. Наличие консьерж  службы.
Хорошёво	Москва, СЗАО, р-н Хорошево-Мневники, м. Хорошёво, проспект Маршала Жукова, 78к5	4-комн. кв.	153	4	24	33500000	ПРЯМОЙ ПРЕДСТАВИТЕЛЬ СОБСТВЕННИКА! Срочно! Делимся комиссией. Оперативный показ. Лучшее предложение по цене в ЖК Континенталь. Квартира очень тихая и уютная. Идеально для большой семьи! Правильная планировка, окна квартиры на две стороны, с ремонтом. 3 спальни, гостиная, кухня, 2 су, гардеробная, лоджия. В собственности более 3х лет. Через дорогу Серебряный бор. Дом стоит на берегу реки. Полная стоимость в ДКП. Прямая продажа. Возможен торг.    ЖК Континенталь - жилой комплекс бизнес класса монолитно-кирпичных зданий переменной этажности, офисные, торговые площади, развлекательный центр. В подземной части комплекса оборудована четырехуровневый подземный паркинг с мойкой и автосервисом. Территория комплекса благоустроена с учетом особенностей ландшафта местности, ограждена и оборудована системами видео-охраны. Удобное транспортное сообщение: 20 минут на автомобиле до центра города. 10 минут транспортом от станций метро Полежаевская, Октябрьское поле. в 5 минутах ходьбы парк Серебрянный бор.   Номер лота 68929
Киевская	Москва, ЗАО, р-н Раменки, м. Киевская, Мосфильмовская улица, 8	3-комн. кв.	98	10	53	35000000	"Квартира без отделки с видами на МГУ. Правильная прямоугольная форма, приятные виды, комфортный этаж. Можно спланировать: кухню-гостиную, 2 спальни и 2 с/у. ОФИС ПРОДАЖ квартир в ЖК ""ДОМ НА МОСФИЛЬМОВСКОЙ"". Самый эффектный и модный небоскреб рядом с центром Москвы с неповторимым авторским решением от известного архитектора Сергея Скуратова. Удобная транспортная доступность, до Кремля 10 мин. Уютная огороженная территория с площадкой для спорта и отдыха с детьми, салоны красоты, квалифицированная круглосуточная охрана, видеонаблюдение, трехуровневый подземный паркинг с автомойкой. Секция А. ВОЗНАГРАЖДЕНИЕ АГЕНТАМ. ОПЕРАТИВНЫЙ ПОКАЗ! Прямой представитель собственника - Екатерина."
Проспект Вернадского	Москва, ЮЗАО, р-н Обручевский, м. Проспект Вернадского, Ленинский проспект, 111к1	4-комн. кв.	150	16	48	37000000	"id 28640. ПРЯМОЙ ПРЕДСТАВИТЕЛЬ СОБСТВЕННИКА! Вашему вниманию предлагается просторная квартира свободной планировки (без отделки) в ЖК ""WELL HOUSE"" общей площадью 147 кв.м. Возможно спланировать: просторную кухню-гостиную, 3 спальни, гардеробные, санузлы, хоз. комнаты. Прекрасные панорамные виды. ЖК бизнес класса. Огороженная, охраняемая и благоустроенная территория, подземный паркинг и наземная гостевая парковка. В пешей доступности Воронцовский и Юго-Западный лесопарк. На территории комплекса: супермаркет, салон красоты, химчистка, частный детский сад и развивающие курсы для детей, медклиника и фитнес-клуб. К территории дома примыкает благоустроенный лесопарк с прудом, детскими площадками и игровыми зонами. Удобная транспортная доступность. ПОКАЗ ОПЕРАТИВНО!"
Шаболовская	Москва, ЮАО, р-н Даниловский, м. Шаболовская, улица Серпуховский Вал, 21	4-комн. кв.	131	10	17	43000000	В стоимость входят два машино-места! В продаже квартира общей площадью 130.9 кв.м. Свободная планировка. Стены не возведены. Возможный вариант планировки: кухня  столовая - гостиная, три изолированные комнаты, холл, четыре с/у. Либо любой другой вариант, соответствующий вашим вкусовым предпочтениям. В квартире пять окон, профиль которых изготовлен из клееной сосны и пластика. Техническое обслуживание: приточно  вытяжная система вентиляции, датчики пожарной системы, возможно провести самостоятельное кондиционирование с выводом наружных блоков на эвакуационные балконы, система доочистки воды ALCO, система Умный дом. Территория ЖК занимает 4,7 Га. Высажены многолетние деревья, живописные кустарники и цветники. Предусмотрены детские игровые площадки, велосипедная и прогулочная дорожки, площадка для отдыха взрослых. Территория комплекса охраняемая. Закрыт въезд автомобилей. По всей территории ЖК расположены видеокамеры, так же круглосуточно дежурит охрана. Территория комплекса огорожена по периметру. Даниловский район Южного Административного Округа прекрасно обеспечен инфраструктурой: в районе  расположено 9 общеобразовательных школ, 18 детских садов, поликлиники, ряд высших образовательных учреждений, в том числе РЭЙ им. Плеханова, бизнес центры, большое количество сетевых магазинов.
Киевская	Москва, ЗАО, р-н Раменки, м. Киевская, Мосфильмовская улица, 8	4-комн. кв.	148	9	11	47000000	"ВЫГОДНАЯ ЦЕНА! Предлагается квартира без отделки. Планируется кухня-гостиная, 3 спальни, 3 с/у. Удобная линейная планировка. Виды на Гольф-клуб, Парк Победы, МГУ. Есть машино-место в подземном паркинге. ОФИС ПРОДАЖ квартир в ЖК ""ДОМ НА МОСФИЛЬМОВСКОЙ"". Самый эффектный и модный небоскреб рядом с центром Москвы с неповторимым авторским решением от известного архитектора Сергея Скуратова. Удобная транспортная доступность, до Кремля 10 мин. Уютная огороженная территория с площадкой для спорта и отдыха с детьми, салоны красоты, квалифицированная круглосуточная охрана, видеонаблюдение, трехуровневый подземный паркинг с автомойкой. Секция Б. ВОЗНАГРАЖДЕНИЕ АГЕНТАМ. ОПЕРАТИВНЫЙ ПОКАЗ! Прямой представитель собственника - Екатерина."
Киевская	Москва, ЗАО, р-н Раменки, м. Киевская, Мосфильмовская улица, 8	2-комн. кв.	75	6	33	48209265	"Если Вы искали квартиру с характером, то Вы ее нашли!!! Можно смело сказать, что ремонт выполнен на высоте! Лучшее предложение ""цена-качество"" в доме!  Спланировано: кухня-гостиная, санузел, спальня с шикарной гардеробной. Мебель выполнена под заказ. Страна производитель мебели и света - Италия. В гостиной панорамные окна, везде в квартире каменные подоконники, каменный камин на биотопливе (так же выполнен под заказ). Кожаные обои ARMANI, сантехника Villeroy-Boch. Продуман каждый сантиметр ремонта. Эта квартира быстро найдет своего покупателя. Спешите на просмотр! ОФИС ПРОДАЖ квартир в ЖК ""ДОМ НА МОСФИЛЬМОВСКОЙ"". Самый эффектный и модный небоскреб рядом с центром Москвы с неповторимым авторским решением от известного архитектора Сергея Скуратова. Удобная транспортная доступность, до Кремля 10 мин. Уютная огороженная территория с площадкой для спорта и отдыха с детьми, салоны красоты, квалифицированная круглосуточная охрана, видеонаблюдение, трехуровневый подземный паркинг с автомойкой. Секция В. ВОЗНАГРАЖДЕНИЕ АГЕНТАМ. ОПЕРАТИВНЫЙ ПОКАЗ! Прямой представитель собственника - Екатерина."
