Метро	Адрес	Планировка	Площадь, м2	Этаж	Этажность здания	Цена, руб.	Описание
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13Б4	1-комн. кв.	49	2	31	6820099	Номер лота: 2171030, ПОЛНОЦЕННАЯ ОДНОКОМНАТНАЯ КВАРТИРА В ЖК БИЗНЕС КЛАССА C ЕВРОРЕМОНТОМ!  ЦЕНА УКАЗАНА БЕЗ СКИДКИ ДО 3%!!!! ЛУЧШИЙ ЖИЛОЙ КОМПЛЕКС В ЭТОЙ ЛОКАЦИИ!!!  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА!!!  ОТ НАШЕЙ КОМПАНИИ ВЫ ПОЛУЧИТЕ СЕРТИФИКАТ НА БЫТОВУЮ ТЕХНИКУ В РАЗМЕРЕ 50.000!!!  Жилой комплекс Эталон-Сити  это современное пространство для жизни. В вашем распоряжении: развитая инфраструктура, собственный фитнес-центр с бассейном, охраняемые благоустроенные дворы без машин, прогулочные и игровые зоны.  Микрорайон расположен в окружении соснового бора, на примыкающей части которого будет реализован ландшафтный парк с готовыми местами для отдыха и прогулочными маршрутами.  Жильцы дома смогут прогуливаться по своему личному ботаническому саду. Он спланирован таким образом, чтобы служить местом не только для отдыха, но и для обучения. Каждое растение отмечено табличкой,что особенно приятно для прогулок с детьми  Вы легко ответите на любые вопросы, а они быстро получат массу новых эмоций и знаний.  Такое времяпрепровождение, а также школа и детский сад на территории обеспечат маленьким обитателям Эталон-Сити качественное и интересное образование в уникальной развивающей и творческой среде.  Торговый комплекс с магазинами, ресторанами и кафе, располагающийся на территории ЖК, позволят Вам делать покупки и отдыхать, не тратя свое время на дорогу.  Встроенный трехуровневый паркинг даст Вам возможность быстро уезжать по делам и возвращаться домой, не беспокоясь о парковке и безопасности автомобиля. Для гостей комплекса предусмотрена благоустроенная наземная парковочная территория., Москва, Юго-Западный административный округ, Старокрымская улица вл13Б4, м. Скобелевская улица, 1 комн., общ. пл. 49.28 кв.м., жил.пл. 17.6 кв.м., комнаты 17.6, кухня 12 кв.м., 2/31 этаж, санузел совмещенный, лоджия, евроремонт
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13	2-комн. кв.	54	12	31	7600000	"54 кв/м!!!  С КАЧЕСТВЕННОЙ ОТДЕЛКОЙ В ПАСТЕЛЬНЫХ ТОНАХ!  ДОМ МОНОЛИТНЫЙ!!!   ЖК БИЗНЕС-КЛАССА!!! ПАНОРАМНЫЙ ВИД ИЗ ОКОН!   СОВРЕМЕННАЯ, ФУНКЦИОНАЛЬНАЯ ДВУХКОМНАТНАЯ КВАРТИРА с ГАРДЕРОБНОЙ и ЛОДЖИЕЙ. ПОДЗЕМНЫЙ ПАРКИНГ! КОНСЬЕРЖ И ВИДЕОНАБЛЮДЕНИЕ! ОГОРОЖЕННАЯ ТЕРРИТОРИЯ с пропускной системой. Отличная транспортная доступность: есть возможность дойти пешком до станции метро ""Улица Скобелевская"" - 12 мин., или доехать на транспорте до станции ""Бульвар Дмитрия Донского"", также на расстоянии 3,5 км от комплекса расположен съезд на МКАД. Жилой комплекс расположен в районе Северное Бутово РЯДОМ С ЛЕСОПАРКОМ. Монолитные дома с вентилируемыми фасадами оснащены лифтами OTIS.  Одним из главных преимуществ данного комплекса является развитая инфраструктура для всех членов семьи НА ТЕРРИТОРИИ КОМПЛЕКСА: школа, детский сад, магазины, фитнес-центр с бассейном, кафе, рестораны, игровые и прогулочные зоны!!! Отличная транспортная доступность: есть возможность дойти пешком до станции метро ""Улица Скобелевская"" - 12 мин., или доехать на транспорте до станции ""Бульвар Дмитрия Донского"", также на расстоянии 3,5 км от комплекса расположен съезд на МКАД.  Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 рублей на кухонную технику. Поможем с одобрением ипотеки!"
Бульвар Дмитрия Донского	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Дмитрия Донского, Старокрымская улица, 15к1	1-комн. кв.	44	22	23	7650001	Акция Меньше, да лучше на студии в корп.3  СКИДКА 3% ВЫГОДА 1.5 млн.руб.  ВЫДАЧА КЛЮЧЕЙ СРАЗУ ПОСЛЕ ОПЛАТЫ.  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).   Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 руб. на кухонную технику от компании-партнера.  ДОМ СДАН.  Беспроцентная рассрочка, ипотека от 6 % , военная ипотека , материнскай капитал.  ЗВОНИТЕ И ПОЛУЧАЙТЕ УНИКАЛЬНЫЕ ПРЕДЛОЖЕНИЯ И ПЕРСОНАЛЬНЫЕ СКИДКИ ПРЯМО СЕЙЧАС!   Продается квартира 44.1 кв.м. с предчистовой отделкой в самом стильном ЖК бизнес- класса Эталон-Сити. ЖК отличается своей архитектурой: строительство комплекса выполняется с применение современных инженерных и строительных решений, используются только экологически чистые материалы. Территория комплекса огорожена, действует пропускная система, находится под круглосуточной охраной, видеонаблюдением, предусмотрены уютные дворы свободные от транспорта с благоустроенными прогулочными зонами. Есть возможность приобрести парковочное м/м , в подземном паркинге каждого из корпусов расположена автомойка, предусмотрены паркоматы для гостей комплекса. ЖК обеспечен всеми необходимыми социально-бытовыми учреждениями: магазины, супермаркеты, ТРЦ, аптеки, салоны красоты, также на территории предусмотрено размещение школ и детских дошкольных учреждений.
Шоссе Энтузиастов	Москва, ВАО, р-н Соколиная гора, м. Шоссе Энтузиастов, проспект Буденного, 51к4	1-комн. кв.	42	30	32	7979698	РАСПРОДАЖА ОСТАТКОВ! ЦЕНА указана БЕЗ УЧЕТА скидки, ЗВОНИТЕ И ПОЛУЧАЙТЕ ПЕРСОНАЛЬНЫЕ ПРЕДЛОЖЕНИЯ ПРЯМО СЕЙЧАС!  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).  БЕСПРОЦЕНТНАЯ РАССРОЧКА. ИПОТЕКА от 6%.  Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 рублей на кухонную технику от Миэль В беляево.   Комплекс СДАН. Выдача КЛЮЧЕЙ СРАЗУ, после оплаты. Оформление по ДКП.  Золотая звезда- это жилой комплекс комфорт-класса. Расположен в районе Соколиной горы, Восточного административного округа г. Москвы, на проспекте Буденного. Съезд на ТТК находится в 2,8 км по шоссе Энтузиастов. В конце 2018 года будет построена Северо-Восточная хорда, которая будет проходить мимо ЖК Золотая Звезда и позволит перераспределить транспортные потоки между Измайловским шоссе, Щелковским шоссе, шоссе Энтузиастов и проспектом Буденного, что обеспечит бессветофорное движение на участке от шоссе Энтузиастов до Щелковского Шоссе.  Продается 1-комнатная квартира в ЖК Золотая Звезда, в благоустроенном районе с развитой социально-бытовой инфраструктурой. Квартира продается без отделки площадью 42 кв.м и расположена на 30 этаже, в монолитном охраняемом доме.   В комплексе есть все необходимое для комфортного проживания:  огороженная дворовая территория;  встроенный и наземный паркинг;  круглосуточное видеонаблюдение;  детский сад на 180 мест и начальная школа на 340 учащихся;  детские игровые комплексы и спортивные площадки;   зона отдыха;  крупные торговые центры вблизи комплекса: ТЦ Буденовский Плехановский Пассаж, ТЦ 31, Город, ТЦ Семеновский;  магазины и супермаркеты в шаговой доступности;  в районе комплекса работают детский сад, школа и две гимназии; -стадион Крылья Советов в 5 мин. езды от комплекса;  в 800 м от комплекса расположен Измайловский парк, где работают конноспортивный центр, аттракционы и детские игровые площадки.  Транспортная доступность: В районе ЖК Золотая звезда ходят все виды наземного транспорта. Добраться до дома пешком можно от станции метро Шоссе Энтузиастов за 12 мин и от станции м
Бульвар Дмитрия Донского	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Дмитрия Донского, Старокрымская улица, 15к2	1-комн. кв.	60	2	23	8935673	ВЫГОДА 1.5 млн.руб.  ВЫДАЧА КЛЮЧЕЙ СРАЗУ ПОСЛЕ ОПЛАТЫ.  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).   Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 руб. на кухонную технику от Миэль В Беляево.  ДОМ СДАН.  Беспроцентная рассрочка, ипотека от 6 % , военная ипотека , материнскай капитал.  ЗВОНИТЕ И ПОЛУЧАЙТЕ УНИКАЛЬНЫЕ ПРЕДЛОЖЕНИЯ И ПЕРСОНАЛЬНЫЕ СКИДКИ ПРЯМО СЕЙЧАС!   Продается квартира ЕВРОДВУШКА 60 кв.м. 20.30 кв.м. комната кв.м., кухня  гостиная 22.10 кв.м. с предчистовой отделкой в самом стильном ЖК бизнес- класса Эталон-Сити. ЖК отличается своей архитектурой: строительство комплекса выполняется с применение современных инженерных и строительных решений, используются только экологически чистые материалы. Территория комплекса огорожена, действует пропускная система, находится под круглосуточной охраной, видеонаблюдением, предусмотрены уютные дворы свободные от транспорта с благоустроенными прогулочными зонами. Есть возможность приобрести парковочное м/м , в подземном паркинге каждого из корпусов расположена автомойка, предусмотрены паркоматы для гостей комплекса. ЖК обеспечен всеми необходимыми социально-бытовыми учреждениями: магазины, супермаркеты, ТРЦ, аптеки, салоны красоты, также на территории предусмотрено размещение школ и детских дошкольных учреждений.
Бульвар Дмитрия Донского	Москва, ЮЗАО, р-н Южное Бутово, м. Бульвар Дмитрия Донского, Старокрымская улица, 15к1	2-комн. кв.	68	2	23	9852040	Акция Меньше, да лучше на студии в корп.3  СКИДКА 3% ВЫГОДА 1.5 млн.руб.  ВЫДАЧА КЛЮЧЕЙ СРАЗУ ПОСЛЕ ОПЛАТЫ.  БЕСПЛАТНАЯ РЕГИСТРАЦИЯ ДОГОВОРА (экономия 55 000 руб.).   Покупателю ПОДАРОЧНЫЙ СЕРТИФИКАТ 50 000 руб. на кухонную технику от компании-партнера.  ДОМ СДАН.  Беспроцентная рассрочка, ипотека от 6 % , военная ипотека , материнскай капитал.  ЗВОНИТЕ И ПОЛУЧАЙТЕ УНИКАЛЬНЫЕ ПРЕДЛОЖЕНИЯ И ПЕРСОНАЛЬНЫЕ СКИДКИ ПРЯМО СЕЙЧАС!   Продается квартира 67.6 кв.м. с предчистовой отделкой в самом стильном ЖК бизнес- класса Эталон-Сити. ЖК отличается своей архитектурой: строительство комплекса выполняется с применение современных инженерных и строительных решений, используются только экологически чистые материалы. Территория комплекса огорожена, действует пропускная система, находится под круглосуточной охраной, видеонаблюдением, предусмотрены уютные дворы свободные от транспорта с благоустроенными прогулочными зонами. Есть возможность приобрести парковочное м/м , в подземном паркинге каждого из корпусов расположена автомойка, предусмотрены паркоматы для гостей комплекса. ЖК обеспечен всеми необходимыми социально-бытовыми учреждениями: магазины, супермаркеты, ТРЦ, аптеки, салоны красоты, также на территории предусмотрено размещение школ и детских дошкольных учреждений.
Улица Скобелевская	Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Старокрымская улица, вл13	3-комн. кв.	85	11	31	12135868	"ПАНОРАМНЫЙ ВИД!   3-комнатная квартира 85 кв/м с ГАРДЕРОБНОЙ, ДВУМЯ САНУЗЛАМИ! ПОДЗЕМНЫЙ ПАРКИНГ! Жилой комплекс БИЗНЕС-КЛАССА расположен в районе Северное Бутово РЯДОМ С ЛЕСОПАРКОМ. ДОМа МОНОЛИТНые с вентилируемыми фасадами оснащены лифтами OTIS, имеют ОГОРОЖЕННУЮ ТЕРРИТОРИЮ с пропускной системой. КОНСЬЕРЖ, ВИДЕОНАБЛЮДЕНИЕ! Одним из главных преимуществ данного комплекса является развитая инфраструктура для всех членов семьи НА ТЕРРИТОРИИ КОМПЛЕКСА: школа, детский сад, магазины, фитнес-центр с бассейном, кафе, рестораны, игровые и прогулочные зоны!!! Отличная транспортная доступность: есть возможность дойти пешком до станции метро ""Улица Скобелевская"" - 12 мин., или доехать на транспорте до станции ""Бульвар Дмитрия Донского"", также на расстоянии 3,5 км от комплекса расположен съезд на МКАД."
Рассказовка	Москва, НАО (Новомосковский), м. Рассказовка, бульвар Андрея Тарковского, 5	2-комн. кв.	63	8	9	12400000	"Cобственность на руках. Квартира полностью мебелированна, метро ""Рассказовка"" в 10 минутах от ЖК, Солнцевскую линию запустили, доехать до центра за 30-35 минут. Закрытая и охраняемая территория со своей инфраструктурой, большие дворы оборудованы детскими и спортивными площадками. Коридор, теплые полы, итальянская плитка керамогранит.  Кухня: фасады и плитка из Италии, теплые полы, встроенная техника. Духовка, микроволновка, индукционная плита фирмы Siemens, холодильник Liebherr, стиральная машина(с сушкой) посудомоечная машина фирмы Bosch, столешница искусственный камень, шкафы массив дерева. Раковина и кран Blanco. 2 санузла. 1. Ванна чугунная фирма Roca, унитаз, шкаф, полотенцесушитель, теплый пол. 2. Унитаз инсталляция, раковина. Унитазы Roca. Вся сантехника Grohe. Датчики протечки в санузлах и на кухне, что фактически защищает от любых всевозможных протечек, когда хозяев нет дома. Двери массив бука, покрыты матовым лаком, замки и петли скрытые. Прихожая установлен шкаф(4 дверки) из массива, покрыт матовым лаком, теплые полы. 3 кондиционера инверторных General fujitsu, в 2-ух комнатах и на кухне, очень тихие, можно спать с включенными. 1 спальня: Паркетная доска на клей, стены обои, люстра и бра Regenbogen.  2 спальня Паркетная доска на клей, стены обои. Балкон - плитка, теплый пол. На окнах установлены москитные сетки. Сделана полная шумоизоляция квартиры, стены, полы, потолок, использованы самые современные и дорогие технологии, шум в квартире беспокоить не будет. Подключено 3 фазы электричества, что позволяет не думать о напряжении и включать хоть все электронные приборы одновременно. Установлен Wi Fi и телевидение, все розетки и включатели Schneider.  Окна выходят на двор и на лес, распашонка.  Квартира очень светлая, делалась не жалея денег и под себя. В квартире абсолютно все новое, заезжай и сразу живи."
Калужская	Москва, ЮЗАО, р-н Коньково, м. Калужская, улица Бутлерова, 4К1	3-комн. кв.	77	16	22	13200000	ЛУЧШЕЕ ПРЕДЛОЖЕНИЕ! Продается просторная 3-х комнатная квартира в одном из лучших районов Москвы, с отличной экологией. Отличная транспортная доступность: от м. Беляево или Калужская 7-10 минут пешком. Прекрасный вид из окон.   Квартира общей площадью 77,2 кв.м.,16/22 этажного дома, все комнаты изолированы (жилая площадь 44,3 кв.м., кухня 10 кв.м. ). Дом серии КОПЭ 2008 года постройки. Чистый подъезд, домофон. консъерж, хорошие соседи. Облагороженная придомовая территория В квартире и на балконе установлены стеклопакеты, пол  ламинат. Требуется косметический ремонт.  Рядом парки (Тропаревский лесопарк, Воронцовские пруды, Битцевский парк). Школа и детский сад во дворе. Оборудованная детская площадка. Обжитой район с развитой инфраструктурой: магазины всех форматов, торгово-развлекательные центры, кинотеатры, школы, детские сады, поликлиники  все в шаговой доступности. Продажа по ипотеке, военная ипотеке. В счет оплаты принимаем материнский ,капитал , Trade In, жилищный сертификат
Шаболовская	Москва, ЦАО, р-н Якиманка, м. Шаболовская, Мытная улица, вл40-44	2-комн. кв.	70	8	22	14832934	Продается 2-ком. квартира ! Свободная планировка, панорамное остекление, квартира с видом на центр Москвы, потолки высотой более 3 метров. Жилой комплекс Sky House - многофункциональный жилой комплекс Premium класса. Он расположен в историческом центре Москвы, на улице Мытная, в семи минутах на автомобиле от Кремля. В пешей доступности находятся Нескучный сад, ЦПКиО имени Горького, парк Искусств, Центральный Дом художников, множество храмов и музеев, а также модных бутиков и ресторанов. Огороженная и охраняемая территория, видеомониторинг территории, гостевой паркинг, ландшафтный и садовый дизайн, детские игровые площадки. Территория обслуживается собственной службой эксплуатации жилого комплекса. двухуровневый подземный паркинг расположен в едином основании жилого комплекса. Лифты спускаются на все уровни паркинга, что дает возможность быстро и комфортно подняться в свою квартиру. Скоростные лифты Tissen (два пассажирских и один грузовой), дизайнерская отделка помещений общего пользования. Ипотека! Оперативный показ! Не упустите свой шанс !!!!
Строгино	Москва, СЗАО, р-н Строгино, м. Строгино, улица Твардовского, 14к2	2-комн. кв.	64	2	23	17500000	ЛОТ 52162 Предлагаем прекрасную квартиру 64 м в жк Лазурный блюз. Огороженная, охраняемая территория с 3-уровневым подземным паркингом. Панорамный вид из окна на Москву-реку, Серебряный бор, церковь. Планировка квартиры: кухня-гостиная, спальня + гардеробная, 1 полный с/у. В квартире сделан качественный ремонт.  На территории комплекса детские площадки, прогулочные зоны, наземный паркинг, супермаркет, детский клуб, кафе, салон красоты. Экологически чистый район, рядом пляжи, парк, развитая инфраструктура Строгино.
Дубровка	Москва, ЮВАО, р-н Южнопортовый, м. Дубровка, улица 1-я Машиностроения, 10	2-комн. кв.	70	14	30	23900000	Предлагается к продаже 3- комнатная квартира. Кухня - гостиная, постирочная, две спальни (одна с гардеробной комнатой), совмещенный с/у. Индивидуальная система приточно-вытяжной вентиляции с очисткой поступающего воздуха, три кондиционера mitsubishi electric, стиральная, сушильная и посудомоечные машины марки simens, варочная панель, духовка и встроенный в кухонный гарнитур холодильник фирмы NEFF и морозильник фирмы bosh. Система очистки воды. Столешница из искусственного камня. Полы дубовая паркетная доска, межкомнатные двери: производство Италия. Собственник! Полная стоимость в ДКП
Курская	Москва, ЦАО, р-н Басманный, м. Курская, переулок Лялин, 11-13/1С1	3-комн. кв.	80	5	6	24900000	ЛОТ 51963 Предлагается квартира в тихом районе, вблизи Чистых прудов. Потолки: 3.2. Реконструированный дом с лифтом. Квартира со свежим, косметическим ремонтом, выполненном в классическом стиле. В комнатах паркетный пол, в прихожей и на кухне керамогранит. Общая площадь 80 кв.м. Все комнаты изолированы, 6 окон с выходом в тихий переулок. Санузел совмещен, площадью 8 кв.м. Кухня 11 кв м. Двор с огороженной территорией со шлагбаумом. Рядом расположены магазины, кафе, храмы, торговый центр, прогулочные зоны и все прелести исторической малоэтажной Москвы.  ДВА М/М В ПОДЗЕМНОМ ПАРКИНГЕ в аренде, расположены в доме напротив. Цена согласованна с собственником!
Шаболовская	Москва, ЦАО, р-н Якиманка, м. Шаболовская, Мытная улица, вл40-44	4-комн. кв.	140	11	29	30552096	Продается   4-ком. квартира. Свободная планировка, панорамное остекление, квартира с видом на центр Москвы, потолки высотой более 3 метров. Жилой комплекс Sky House - многофункциональный жилой комплекс Premium класса. Он расположен в историческом центре Москвы, на улице Мытная, в семи минутах на автомобиле от Кремля. В пешей доступности находятся Нескучный сад, ЦПКиО имени Горького, парк Искусств, Центральный Дом художников, множество храмов и музеев, а также модных бутиков и ресторанов. Огороженная и охраняемая территория, видеомониторинг территории, гостевой паркинг, ландшафтный и садовый дизайн, детские игровые площадки. Территория обслуживается собственной службой эксплуатации жилого комплекса. двух уровневый подземный паркинг расположен в едином основании жилого комплекса. Лифты спускаются на все уровни паркинга, что дает возможность быстро и комфортно подняться в свою квартиру. Скоростные лифты Tissen (два пассажирских и один грузовой), дизайнерская отделка помещений общего пользования. Ипотека! Оперативный показ! Не упустите свой шанс !!!!
Улица 1905 года	Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Николаева, 4	4-комн. кв.	94	4	8	32000000	лот 48404 Продается 4-х комнатная квартира в фасадном Сталинском  доме  в 5 минутах от Москва - Сити и Арбата. С видом на Белый Дом и Москва-реку. Квартира площадью  94,8м.   Квартира имеет полноценные 3 спальни.  Площадь комнат : 21-20-12-10 м.  В квартире сделан евроремонт. Подъезд очень чистый и ухоженный.  В собственности более 3-х лет.
Новые Черемушки	Москва, ЮЗАО, р-н Ломоносовский, м. Новые Черемушки, улица Академика Пилюгина, 22К1	3-комн. кв.	85	8	21	35500000	ЛОТ 31385. Предлагается квартира с прекрасным видом на Воронцовский парк , удобно спланирована: кухня-гостиная, две спальни, 2 с/у, гардеробная, лоджия. Выполнена отделка в современном стиле, с использованием качественных материалов. В стоимость входит машиноместо на подземной парковке.
Улица 1905 года	Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, улица Сергея Макеева, 9	Своб. планировка	95	6	17	38500000	"ЛОТ 52193 Предлагаем к продаже квартиру 94,5 м. свободной планировки. Высота потолков: 3.2 м. У собственника есть 1 м/м рядом с лифтом. Инфраструктура RedSide:  частный детский сад, медицинская клиника, фитнес-центр, кофейня, супермаркет ""Азбука вкуса"". Подземная парковка на 1900 автомобилей. Инфраструктура района: В шаговой доступности от жилого квартала расположены школы, детские сады и медицинские центры, торговые комплексы, кафе, рестораны, спортивные клубы, Парк Красная Пресня, Московский зоопарк и Планетарий. Рядом третье транспортное кольцо и МКАД, Новорижское,  Рублево-Успенское и Звенигородское шоссе, а также Деловой центр Москва-Сити."
